Cinsiyet,Şirket Konumu,Çalışma Durumu,Çalışma Şekli,Çalışan Sayısı,Deneyim,Sektör,Pozisyon,Pozisyonunuzun Ismi?.1,Aylık Net Maaş (TL),"Yıllık Ek Gelir (Prim, Bonus)",Yan Haklar
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Perakende ve E-tıcaret,Satış Yöneticisi,Satış Yöneticisi,21.000-30.000 TL,51.000-70.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Iş zekası danışmanı ,Iş Zekası Danışmanı ,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Telekomünikasyon,Content Moderator,Content Moderator,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Destek Uzmanı,Yazılım Destek Uzmanı,41.000-50.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Üretim,Bütçe planlama ve finansal kontrol uzman yardımcısı,Bütçe Planlama Ve Finansal Kontrol Uzman Yardımcısı,41.000-50.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,3-5 Yıl,Tekstil ve Hazır Giyim,Kalite yönetim sistemleri sorumlusu,Kalite Yönetim Sistemleri Sorumlusu,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Müşteri hizmetleri asistanı,Müşteri Hizmetleri Asistanı,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Erkek,Türkiye,Tam zamanlı,Uzaktan,50-99,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Software support specialist,Software Support Specialist,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Avukat,Avukat,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Sağlık ve Tıp,Dijital İçerik Üreticisi,Dijital İçerik Üreticisi,41.000-50.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,Yönetici Yardımcısı,Yönetici Yardımcısı,41.000-50.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Diğer,Lokalizasyon Proje Müdürü,Lokalizasyon Proje Müdürü,51.000-60.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,SAP B1 Consultant,Sap B1 Consultant,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Teknik destek uzmanı,Teknik Destek Uzmanı,31.000-40.000 TL,111.000-150.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Finans ve Muhasebe,Data Analyst ,Data Analyst ,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Perakende ve E-tıcaret,İş güvenlik uzmanı,İş Güvenlik Uzmanı,51.000-60.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,İnşaat,Mimar ,Mimar ,41.000-50.000 TL,20.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Tekstil ve Hazır Giyim,Satış sorumlusu,Satış Sorumlusu,41.000-50.000 TL,51.000-70.000 TL,"Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,5-7 Yıl,Gıda ve İçecek,Customer Service Supervisor,Customer Service Supervisor,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım geliştirici,Yazılım Geliştirici,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,12 ve ustu,Tekstil ve Hazır Giyim,Senior Merchendiser,Senior Merchendiser,51.000-60.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Mühendislik,Kalite Mühendisi,Kalite Mühendisi,21.000-30.000 TL,20.000-30.000 TL,"Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Growth specialist,Growth Specialist,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Gıda ve İçecek,Diyetisyen,Diyetisyen,21.000-30.000 TL,20.000-30.000 TL,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,Servis görevlisi/Asistan,Servis Görevlisi/Asistan,31.000-40.000 TL,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Satış destek elemanı,Satış Destek Elemanı,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Eğitim,Operasyon sorumlusu,Operasyon Sorumlusu,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Mühendislik,Çevre mühendisi ,Çevre Mühendisi ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Finans ve Muhasebe,Veri Analisti,Veri Analisti,51.000-60.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,12 ve ustu,Perakende ve E-tıcaret,E-commerce Manager ,E-Commerce Manager ,120.000 TL ve üstü,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Finans ve Muhasebe,Dijital Pazarlama Uzmanı,Dijital Pazarlama Uzmanı,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Eğitim,Content Marketing assistant ,Content Marketing Assistant ,71.000-80.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Havacılık,Kabin Memuru,Kabin Memuru,61.000-70.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,İş analisti,İş Analisti,71.000-80.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Geliştirme Sorumlusu,İş Geliştirme Sorumlusu,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,5-7 Yıl,Dijital Medya ve Eğlence,Performans pazarlama uzmanı,Performans Pazarlama Uzmanı,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Gıda ve İçecek,proje yöneticisi,Proje Yöneticisi,31.000-40.000 TL,31.000-50.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Mühendislik,Yönetim kurulu asistanı,Yönetim Kurulu Asistanı,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Sağlık ve Tıp,Kalite Güvence Uzmanı,Kalite Güvence Uzmanı,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Kurumsal İletişim ve Marka Yönetimi,Kurumsal İletişim Ve Marka Yönetimi,10.000-20.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Mühendislik,Gemi Mühendisi,Gemi Mühendisi,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,QA Engineer,Q&A Muhendisi,81.000-90.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Avukat,Avukat,10.000-20.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,0-1 Yıl,Otomotiv,Resepsiyon ,Resepsiyon ,10.000-20.000 TL,20.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,system manager,System Manager,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Finans ve Muhasebe,Muhasebeci,Muhasebeci,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Erkek,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Uzmanı,Satış Uzmanı,21.000-30.000 TL,20.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,1-3 Yıl,Diğer,account executive,Account Executive,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Yarı zamanlı,Hybrid,150-199,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İnsan Kaynakları N’Talent,İnsan Kaynakları N’Talent,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,5-7 Yıl,Perakende ve E-tıcaret,E-Channel Account Manager,E-Channel Account Manager,51.000-60.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Erkek,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Mühendislik,Elektrik Mühendisi,Elektrik Mühendisi,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Havacılık,Maliyet Kontrol Uzmanı,Maliyet Kontrol Uzmanı,51.000-60.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Yarı zamanlı,Ofiste,1-49,12 ve ustu,Finans ve Muhasebe,Mali müşavir ,Mali Müşavir ,31.000-40.000 TL,20.000-30.000 TL,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Gıda ve İçecek,Kalite güvence ve Arge ,Kalite Güvence Ve Arge ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,İdari İşler Asistanı ,İdari İşler Asistanı ,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Perakende ve E-tıcaret,Satış danışmanı,Satış Danışmanı,91.000-100.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Finans ve Muhasebe,Growth Specialist,Growth Specialist,41.000-50.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Otomotiv,Üst Düzey Yönetici Asistanı,Üst Düzey Yönetici Asistanı,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,İnşaat,Mimar,Mimar,41.000-50.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Tekstil ve Hazır Giyim,İthalat/İhracat Uzmanı,İthalat/İhracat Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Üretim,Sistem geliştirme uzman yardımcısı ,Sistem Geliştirme Uzman Yardımcısı ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Perakende ve E-tıcaret,Dijital Pazarlama Uzman Yardımcısı,Dijital Pazarlama Uzman Yardımcısı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Sağlık ve Tıp,Yaşlı Bakım Teknisyeni ,Yaşlı Bakım Teknisyeni ,10.000-20.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,İhracat satış temsilcisi,İhracat Satış Temsilcisi,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Üretim,Maliyet Muhasebesi Uzman Yardımcısı ,Maliyet Muhasebesi Uzman Yardımcısı ,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Dijital Medya ve Eğlence,Grafiker,Grafiker,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Perakende ve E-tıcaret,Satis danışmanı ,Satis Danışmanı ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Üretim,Satış Destek Uzmanı,Satış Destek Uzmanı,31.000-40.000 TL,71.000-90.000 TL,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Havacılık,Yolcu Hizmetleri Memuru ,Yolcu Hizmetleri Memuru ,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,React native developer,React Native Developer,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Mühendislik,Kurumsal iletişim,Kurumsal Iletişim,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılımcı,Yazılımcı,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Diğer,İnsan Kaynakları Uzmanı,İnsan Kaynakları Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Diğer,Yönetici asistanı ,Yönetici Asistanı ,10.000-20.000 TL,Ek gelirim yok,"Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Eğitim,Yurtdışı Eğitim Danışmanı,Yurtdışı Eğitim Danışmanı,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Data governance specialist,Data Governance Specialist,61.000-70.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend and Design,Frontend And Design,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Üretim,Kıdemli Veri Analisti,Kıdemli Veri Analisti,61.000-70.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,RPA Developer ,Rpa Developer ,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Junior Avukat,Junior Avukat,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Yeminli Tercümanlık,Yeminli Tercümanlık,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Üretim,Project Specialist ,Project Specialist ,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,İnsan kaynakları uzman yardımcısı,İnsan Kaynakları Uzman Yardımcısı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,3-5 Yıl,Finans ve Muhasebe,Yazılım test uzmanı,Yazılım Test Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Turizm ve Konaklama,Operasyon müdürü,Operasyon Müdürü,51.000-60.000 TL,51.000-70.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Yarı zamanlı,Ofiste,1-49,0-1 Yıl,Perakende ve E-tıcaret,Satış temsilcisi,Satış Temsilcisi,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,İnşaat,Ön muhasebe ,Ön Muhasebe ,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,9-12 Yıl,Diğer,Assistant manager ,Assistant Manager ,61.000-70.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Telekomünikasyon,Müşteri hizmetleri temsilcisi ,Müşteri Hizmetleri Temsilcisi ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,9-12 Yıl,Telekomünikasyon,Bölge yöneticisi,Bölge Yöneticisi,51.000-60.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Eğitim,Eğitim Teknologu,Eğitim Teknologu,41.000-50.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Doktora sonrası araştırmacı,Doktora Sonrası Araştırmacı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,0-1 Yıl,Sağlık ve Tıp,Farmakovijilans Uzmanı,Farmakovijilans Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Sağlık ve Tıp,Yardımcı eczacı,Yardımcı Eczacı,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Üretim,Teknik Ressam,Teknik Ressam,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Eğitim,SEO Content Writer ,Seo Content Writer ,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Telekomünikasyon,Içerik Moderatörü ,Içerik Moderatörü ,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Mühendislik,ziraat mühendisi ,Ziraat Mühendisi ,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
